ID,target
000137c73,2294374.2627932094
00021489f,2248167.131002982
0004d7953,2112479.11621745
00056a333,7216750.162650559
00056d8eb,2432979.8626802266
0005fc190,2318415.3531137765
000787e86,2331279.579514757
0008510a0,2597648.28860824
000895faf,2149402.386782582
000986fba,3288806.6573367054
0009efcc5,1473248.9852599683
000dd8f00,2432979.8626802266
000e1cdc2,1068395.6677762193
00103739c,2304169.1042054165
00134b367,2016026.9486935604
001788d0d,641385.2874681954
0019c8ad7,1977392.1388206289
001a267b9,493829.8904734148
001a85486,2502748.5095809516
001c4de06,3404196.8213747414
001f9014b,2344094.526863971
00216fb94,2455789.2665869975
00235690e,2481852.9762858353
00240739d,2548591.448411206
0024c3747,2228614.434330137
00297052d,2349982.506855884
002ab8f85,2417719.8242870444
002bed5c0,2242819.449524208
002bf3974,6933961.846199556
002d23a26,2488308.5459335884
002f27de9,2690827.9749251534
0030d8bb4,2971947.961677949
003146acd,2411329.8091360237
003223263,1002065.7984549174
00335575e,4551763.853161911
00337cf9d,2955462.0488304985
003394397,2479541.650684788
0036358a3,2518726.4104584483
003770d30,1601700.3315829725
003bed5ea,2429103.4711247557
003ea6427,3139143.4404869652
003ef8132,2920886.972005002
003fd1723,2695750.4262551386
0041861b4,636047.3452562221
0042b718b,1458206.2417123595
004381d8f,4833770.291613351
0043ca764,2441079.3801104417
004486837,2138305.477413688
0045c123e,1522815.4849622422
0048915c6,2670055.8905830877
004ab9a09,1903697.0350392363
004b2e1c9,3259574.488258474
004c54732,868683.337121634
004cdefce,2422057.7125399397
004dd971b,4729563.566874377
004f9329b,2437754.4484841153
004fd2bca,2036290.8298755677
0054bfedb,1026526.54413681
0054ec58a,267914.1208429081
00551f45d,17586504.92413365
005777b4c,1810948.98527608
00578d6ea,2617741.0401045177
005802488,1694054.4659801074
0059833b6,1905618.197772616
005a70085,2653029.0076076863
005b148a0,2432979.8626802266
005c28df4,2402781.5776333027
005f8dc26,2400184.419742688
00603c202,8724645.805118622
006049609,2225473.851431127
00612f47e,2425705.895761851
00647a57f,2445915.359325914
0065853ee,2432979.8626802266
006589d5e,1528817.3530426072
006598823,4083615.6569814268
0065c093c,2289706.790233038
006738351,1442167.0861259755
006a0c6a8,1521572.1592843116
006e9efe6,1865223.2257178794
006f029d3,2002109.3717815147
0070f35a2,2393084.5199863873
007135f85,2435292.8292024937
007285433,4850733.958276101
00735e101,1907182.8791666694
0074ecf4e,2335390.9069970674
007635fa9,2620812.965450067
007723613,2697411.195266553
007867da9,2419101.9424313707
0078bfbd6,573418.7882949993
0078ce229,2373518.1933742585
007a89d50,2329440.6548868814
007d43dfa,2263436.7349754274
007ee9e05,2580619.7514760313
007ffeae2,2381258.558802592
00835c85c,2349626.137430506
0084b08f1,2384531.418387819
0087fb290,2480832.2576767877
0088a96bd,1466600.752061376
008ac4292,2807504.82178061
008d8cca8,2236248.2305039396
008e07b8c,2195102.889136165
008e5e25a,2784242.845717078
0094edcdb,3986788.264272513
00950141c,2829870.252196809
009566ef1,3693225.910621559
0095c81d4,2432979.8626802266
0097a6ed4,2852719.5710152294
0098fef9a,1095534.8079962363
009b321ec,5942854.063104265
009cd681e,2175280.849201055
009f34f86,2424991.3235752573
009f35cd3,2518461.5188812893
009f65109,5063331.587924508
00a19014a,896883.0348079149
00a27e76a,610624.1910054737
00a3b6ef7,2578446.3028324354
00a427603,673004.8150016412
00a6dc8be,2543769.6561537273
00a811734,7275677.239199346
00a8f58a7,2434468.587702876
00aaae151,2330479.489584477
00ab17f67,2463873.290629455
00ac2d3a5,2228976.152090294
00adab1b6,2742230.7943720915
00aef0d56,2054163.2118992354
00b0b06c4,1710886.630291674
00b0e2303,989439.5295524417
00b1fbbc9,548759.2342272581
00b43e0c1,3849633.0323676313
00b7190a8,2437826.3124536416
00b722e1b,1800936.8790607296
00bba815f,3032635.652846019
00bbb1c42,2247641.860362341
00bc2b665,2403844.827289414
00bc35689,2415500.6269933945
00be23f52,4339507.305646629
00be24ac5,2894687.7514023115
00bfd0f70,1537038.8956631594
00c02f73e,3447337.473676197
00c08e5b3,2041997.1636599728
00c8690ff,2483702.5194772305
00c8df4d5,2588911.5825377502
00c8e30de,2297111.3099044254
00ca3fb04,1461870.4713861693
00cabf621,2445839.1464650636
00cb48ae3,1829220.0385337549
00cb6b147,2462193.7007091288
00cc91a22,4593671.526462123
00cd65e9d,2580956.5887674857
00cd7d6a8,756719.0398305726
00cdc1483,2475627.670835791
00ce9bea5,1083006.8181668331
00cea0091,3172895.068464042
00cea68c6,2614667.5204710825
00d5a5975,2803707.1705918545
00d80a3a4,21312548.71553751
00d9f3864,824859.8104747819
00da4bd31,2396264.136151936
00df4dd77,2189321.0497834124
00e1a55bf,2435701.163824208
00e332971,2431013.917139607
00e5b6b1b,3574490.744067954
00e85d5e3,2252832.7256563106
00e90abfa,2747479.106915786
00e9708b4,2467846.960699105
00e9c680f,8611116.695357759
00eaa4394,2504925.5049669947
00eae8832,2692433.64758452
00ebefdc0,2673176.665142195
00ecbcb1b,1414392.7004935353
00ed49382,4794112.549559006
00ed87564,2401950.7918425943
00ef96cfd,96303.77548467895
00efe7ca3,2483703.884490607
00f36aa18,2443228.9291470475
00f3fb071,2217628.324830711
00f43f548,1917492.7717657809
00f4d58ec,2432979.8626802266
00f56e106,2218173.657916341
00f84d8c2,1525913.7801916432
00f92953b,2434292.3966225055
00fa1d469,4077151.5514723025
00ff96f49,3162419.9864165885
0100ce0d8,5888251.064766209
0102ea9e1,2245159.5174870035
0104b3af3,2197510.3988104253
010672441,2432979.8626802266
010771ca5,2513938.601913439
0108aea9f,2431469.3074477287
010a479e1,2270053.3339484697
010d0a2dd,6710095.649699809
010e3cea2,2425544.8143563094
010e5417b,2498288.870511057
01108a561,172679.9542982041
0110cca98,1014422.3743508081
011449698,2389078.483496115
0114795f0,2755629.7570217196
011626c20,8900931.225075517
0117c8f27,2183398.1157852714
0117dcb47,2958508.8596690646
0118c34be,1779331.0954498863
